text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len
Overview,24.0,"Arial,Bold",1,1,0,252.64999389648438,185.6600341796875,1,8
Foundation Level Extensions,24.0,"Arial,Bold",1,1,0,139.3459930419922,240.884033203125,1,27
Version 1.0,12.0,Arial,0,1,0,275.69000244140625,380.3900146484375,1,11
International Software Testing Qualifications Board,18.0,Arial,0,1,0,103.33999633789062,462.6399841308594,1,51
Copyright Notice,9.960000038146973,Arial,0,1,0,70.94400024414062,650.593017578125,1,16
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,Arial,0,0,0,70.94400024414062,662.11669921875,1,93
International,9.960000038146973,Arial,0,1,0,447.9100036621094,36.933013916015625,2,13
Overview,12.0,Arial,0,1,0,74.42400360107422,39.540000915527344,2,8
Software Testing,9.960000038146973,Arial,0,1,0,437.95001220703125,48.452972412109375,2,16
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,56.733001708984375,2,28
Agile Tester,9.960000038146973,Arial,0,1,0,209.08999633789062,56.733001708984375,2,12
Qualifications,9.960000038146973,Arial,0,1,0,430.75,59.972991943359375,2,14
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,59.972991943359375,2,5
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,Arial,0,0,0,70.94400024414062,118.67300415039062,2,92
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.58135986328125,718.6836547851562,2,12
Page 2 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.1639404296875,718.6836547851562,2,12
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.5750732421875,718.6836547851562,2,12
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,735.8699951171875,2,53
Qualifications Board,9.960000038146973,Arial,0,1,0,430.75,59.972991943359375,3,20
International,9.960000038146973,Arial,0,1,0,447.9100036621094,36.933013916015625,3,13
Overview,12.0,Arial,0,1,0,74.42400360107422,39.540000915527344,3,8
Software Testing,9.960000038146973,Arial,0,1,0,437.95001220703125,48.452972412109375,3,16
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,56.733001708984375,3,28
Agile Tester,9.960000038146973,Arial,0,1,0,209.08999633789062,56.733001708984375,3,12
Revision History,15.960000038146973,"Arial,Bold",1,1,0,70.94400024414062,106.30280303955078,3,16
Version,9.960000038146973,"Arial,Bold",1,1,0,74.42400360107422,137.80282592773438,3,7
Date,9.960000038146973,"Arial,Bold",1,1,0,146.4199981689453,137.80282592773438,3,4
Remarks,9.960000038146973,"Arial,Bold",1,1,0,278.69000244140625,137.80282592773438,3,7
0.1,9.960000038146973,Arial,0,0,0,74.42400360107422,150.11300659179688,3,3
18 JUNE 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,150.11300659179688,3,12
Initial version,9.960000038146973,Arial,0,0,0,278.69000244140625,150.11300659179688,3,15
0.2,9.960000038146973,Arial,0,0,0,74.42400360107422,162.35299682617188,3,3
23 JULY 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,162.35299682617188,3,12
WG reviewed and confirmed,9.960000038146973,Arial,0,0,0,278.69000244140625,162.35299682617188,3,25
0.3,9.960000038146973,Arial,0,0,0,74.42400360107422,174.59298706054688,3,3
6 NOV 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,174.59298706054688,3,10
amended population and diagram,9.960000038146973,Arial,0,0,0,278.69000244140625,174.59298706054688,3,30
0.7,9.960000038146973,Arial,0,0,0,74.42400360107422,186.83297729492188,3,3
11 DEC 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,186.83297729492188,3,11
Amended Business Outcomes and Chapters matching,9.960000038146973,Arial,0,0,0,278.69000244140625,186.83297729492188,3,47
0.8,9.960000038146973,Arial,0,0,0,74.42400360107422,199.07302856445312,3,3
20 DEC 2013,9.960000038146973,Arial,0,0,1,146.4199981689453,199.07302856445312,3,11
Working group updates on 0.7,9.960000038146973,Arial,0,0,0,278.69000244140625,199.07302856445312,3,28
1.0,9.960000038146973,Arial,0,0,0,74.42400360107422,211.31301879882812,3,3
31 MAY 2014,9.960000038146973,Arial,0,0,1,146.4199981689453,211.31301879882812,3,11
GA release for Agile Extension,9.960000038146973,Arial,0,0,0,278.69000244140625,211.31301879882812,3,30
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.58399963378906,718.6878662109375,3,12
Page 3 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.16656494140625,718.6878662109375,3,12
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.57769775390625,718.6878662109375,3,12
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,735.8699951171875,3,53
..........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,151.81919860839844,143.08279418945312,4,138
........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,157.3370361328125,160.48294067382812,4,136
............................................................................,9.960000038146973,"Arial,Bold",1,0,0,322.97186279296875,178.00259399414062,4,76
...............................................................,9.960000038146973,"Arial,Bold",1,0,0,358.8677062988281,195.52224731445312,4,63
.....................................................................................................................,9.960000038146973,Arial,0,0,0,195.8623504638672,213.11160278320312,4,117
............................................................................................................,9.960000038146973,Arial,0,0,0,221.818115234375,224.63534545898438,4,108
...................................................................................................................,9.960000038146973,Arial,0,0,0,201.6291961669922,236.06942749023438,4,115
...................................................................................................................,9.960000038146973,Arial,0,0,0,201.6291961669922,247.59317016601562,4,115
...................................................................................................,9.960000038146973,Arial,0,0,0,247.74398803710938,259.1169128417969,4,99
......................................................................................................................,9.960000038146973,Arial,0,0,0,192.99386596679688,270.640625,4,118
.........................................,9.960000038146973,"Arial,Bold",1,0,0,414.07598876953125,288.0905456542969,4,41
.................................................................................................................,9.960000038146973,Arial,0,0,0,201.61923217773438,305.6799011230469,4,113
....................................................................................................................................,9.960000038146973,Arial,0,0,0,146.89898681640625,317.0841064453125,4,132
..........................................................................................................................................,9.960000038146973,"Arial,Bold",1,0,0,146.3013916015625,334.5340270996094,4,138
.............................................................................................................................,9.960000038146973,Arial,0,0,0,167.0679931640625,352.1233825683594,4,125
.......................................................................................................,9.960000038146973,Arial,0,0,0,230.46339416503906,363.6470947265625,4,103
International,9.960000038146973,Arial,0,1,0,447.9100036621094,36.933013916015625,4,13
Overview,12.0,Arial,0,1,0,74.42400360107422,39.540000915527344,4,8
Software Testing,9.960000038146973,Arial,0,1,0,437.95001220703125,48.452972412109375,4,16
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,56.733001708984375,4,28
Agile Tester,9.960000038146973,Arial,0,1,0,209.08999633789062,56.733001708984375,4,12
Qualifications,9.960000038146973,Arial,0,1,0,430.75,59.972991943359375,4,14
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,59.972991943359375,4,5
Table of Contents,15.960000038146973,"Arial,Bold",1,0,0,70.94400024414062,106.30280303955078,4,17
Revision History,9.960000038146973,"Arial,Bold",1,1,0,70.94400024414062,143.08279418945312,4,16
3,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,143.08279418945312,4,1
Table of Contents,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,160.48294067382812,4,17
4,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,160.48294067382812,4,1
1.,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,178.00259399414062,4,2
Introduction to the Foundation Level Extensions,9.960000038146973,"Arial,Bold",1,0,0,90.98348999023438,178.00259399414062,4,47
6,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,178.00259399414062,4,1
2.,9.960000038146973,"Arial,Bold",1,0,0,70.9439697265625,195.52224731445312,4,2
Introduction to Foundation Level Agile Tester Extension,9.960000038146973,"Arial,Bold",1,0,0,90.98348999023438,195.52224731445312,4,55
7,9.960000038146973,"Arial,Bold",1,0,0,535.1795654296875,195.52224731445312,4,1
2.1,9.960000038146973,Arial,0,0,0,80.90396118164062,213.11160278320312,4,3
Intended Audience,9.960000038146973,Arial,0,1,0,110.90348815917969,213.11160278320312,4,17
7,9.960000038146973,Arial,0,0,0,535.1795654296875,213.11160278320312,4,1
2.2,9.960000038146973,Arial,0,0,0,80.90396118164062,224.63534545898438,4,3
Career Paths for Testers,9.960000038146973,Arial,0,0,0,110.90348815917969,224.63534545898438,4,24
7,9.960000038146973,Arial,0,0,0,535.1895141601562,224.63534545898438,4,1
2.3,9.960000038146973,Arial,0,0,0,80.91390991210938,236.06942749023438,4,3
Learning Objectives,9.960000038146973,Arial,0,1,0,110.91343688964844,236.06942749023438,4,19
7,9.960000038146973,Arial,0,0,0,535.1895141601562,236.06942749023438,4,1
2.4,9.960000038146973,Arial,0,0,0,80.91390991210938,247.59317016601562,4,3
Entry Requirements,9.960000038146973,Arial,0,1,0,110.91343688964844,247.59317016601562,4,18
8,9.960000038146973,Arial,0,0,0,535.1895141601562,247.59317016601562,4,1
2.5,9.960000038146973,Arial,0,0,0,80.91390991210938,259.1169128417969,4,3
Structure and Course Duration,9.960000038146973,Arial,0,0,0,110.91343688964844,259.1169128417969,4,29
8,9.960000038146973,Arial,0,0,0,535.1895141601562,259.1169128417969,4,1
2.6,9.960000038146973,Arial,0,0,0,80.91390991210938,270.640625,4,3
Keeping It Current,9.960000038146973,Arial,0,1,0,110.91343688964844,270.640625,4,18
9,9.960000038146973,Arial,0,0,0,535.1895141601562,270.640625,4,1
3.,9.960000038146973,"Arial,Bold",1,0,0,70.95391845703125,288.0905456542969,4,2
Overview of the Foundation Level Extension –,9.960000038146973,"Arial,Bold",1,0,0,90.99343872070312,288.0905456542969,4,44
Agile Tester Syllabus,9.960000038146973,"Arial,Bold",1,1,0,312.89227294921875,288.0905456542969,4,21
10,9.960000038146973,"Arial,Bold",1,0,0,529.542236328125,288.0905456542969,4,2
3.1,9.960000038146973,Arial,0,0,0,80.90402221679688,305.6799011230469,4,3
Business Outcomes,9.960000038146973,Arial,0,1,0,110.90354919433594,305.6799011230469,4,17
10,9.960000038146973,Arial,0,0,0,529.542236328125,305.6799011230469,4,2
3.2,9.960000038146973,Arial,0,0,0,80.90402221679688,317.0841064453125,4,3
Content,9.960000038146973,Arial,0,1,0,110.90354919433594,317.0841064453125,4,7
10,9.960000038146973,Arial,0,0,0,529.542236328125,317.0841064453125,4,2
4.,9.960000038146973,"Arial,Bold",1,0,0,70.94400024414062,334.5340270996094,4,2
References,9.960000038146973,"Arial,Bold",1,1,0,90.9835205078125,334.5340270996094,4,10
12,9.960000038146973,"Arial,Bold",1,0,0,529.542236328125,334.5340270996094,4,2
4.1,9.960000038146973,Arial,0,0,0,80.90402221679688,352.1233825683594,4,3
Trademarks,9.960000038146973,Arial,0,1,0,110.90354919433594,352.1233825683594,4,10
12,9.960000038146973,Arial,0,0,0,529.55224609375,352.1233825683594,4,2
4.2,9.960000038146973,Arial,0,0,0,80.91403198242188,363.6470947265625,4,3
Documents and Web Sites,9.960000038146973,Arial,0,0,0,110.91355895996094,363.6470947265625,4,23
12,9.960000038146973,Arial,0,0,0,529.55224609375,363.6470947265625,4,2
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.601318359375,718.7114868164062,4,12
Page 4 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.18389892578125,718.7114868164062,4,12
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.59503173828125,718.7114868164062,4,12
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,735.8699951171875,4,53
International,9.960000038146973,Arial,0,1,0,447.9100036621094,36.933013916015625,5,13
Overview,12.0,Arial,0,1,0,74.42400360107422,39.540000915527344,5,8
Software Testing,9.960000038146973,Arial,0,1,0,437.95001220703125,48.452972412109375,5,16
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,56.733001708984375,5,28
Agile Tester,9.960000038146973,Arial,0,1,0,209.08999633789062,56.733001708984375,5,12
Qualifications,9.960000038146973,Arial,0,1,0,430.75,59.972991943359375,5,14
Board,9.960000038146973,Arial,0,1,0,493.54779052734375,59.972991943359375,5,5
Acknowledgements,15.960000038146973,Arial,0,1,0,70.94400024414062,106.22300720214844,5,16
This document was produced by a team from the International Software Testing Qualifications Board,9.960000038146973,Arial,0,0,0,70.94400024414062,143.15298461914062,5,97
Foundation Level Working Group.,9.960000038146973,Arial,0,1,0,70.94400024414062,154.55715942382812,5,31
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,9.960000038146973,Arial,0,0,0,70.94400024414062,177.59463500976562,5,104
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",9.960000038146973,Arial,0,0,0,70.94400024414062,200.63211059570312,5,100
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",9.960000038146973,Arial,0,0,0,70.94400024414062,212.03628540039062,5,94
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",9.960000038146973,Arial,0,1,0,70.94400024414062,223.56002807617188,5,99
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",9.960000038146973,Arial,0,0,0,70.94400024414062,235.11361694335938,5,88
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",9.960000038146973,Arial,0,1,0,70.94400024414062,258.1510925292969,5,93
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",9.960000038146973,Arial,0,0,0,70.94400024414062,269.6748046875,5,71
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",9.960000038146973,Arial,0,1,0,70.94400024414062,292.5927734375,5,89
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",9.960000038146973,Arial,0,1,0,70.94400024414062,304.1164855957031,5,97
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",9.960000038146973,Arial,0,1,0,70.94400024414062,315.64019775390625,5,95
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",9.960000038146973,Arial,0,0,0,70.94400024414062,327.1639099121094,5,56
"The team thanks also the following persons, from the National Boards and the Agile expert community,",9.960000038146973,Arial,0,0,0,70.94400024414062,350.0818786621094,5,100
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",9.960000038146973,Arial,0,0,0,70.94400024414062,361.6055908203125,5,105
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",9.960000038146973,Arial,0,1,0,70.94400024414062,373.1294250488281,5,96
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",9.960000038146973,Arial,0,1,0,70.94400024414062,384.6730651855469,5,99
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",9.960000038146973,Arial,0,1,0,70.94400024414062,396.19677734375,5,109
"Morgan,",9.960000038146973,Arial,0,1,0,70.94400024414062,409.4109802246094,5,7
"Ninna Morin,",9.960000038146973,Arial,0,1,0,110.49516296386719,409.4109802246094,5,12
"Ingvar Nordstrom,",9.960000038146973,Arial,0,1,0,169.8468017578125,409.4109802246094,5,17
Chris,9.960000038146973,Arial,0,1,0,252.6841278076172,409.4109802246094,5,5
"O’Dea,",9.960000038146973,Arial,0,1,0,278.69964599609375,409.4109802246094,5,6
Klaus,9.960000038146973,Arial,0,1,0,312.6234130859375,409.4109802246094,5,5
"Olsen, Ismo",9.960000038146973,Arial,0,1,0,340.3221740722656,409.4109802246094,5,11
"Paukamainen,",9.960000038146973,Arial,0,1,0,396.5364074707031,409.4109802246094,5,12
"Nathalie Phung,",9.960000038146973,Arial,0,1,0,463.089111328125,409.4109802246094,5,15
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",9.960000038146973,Arial,0,1,0,70.9439697265625,419.12469482421875,5,101
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",9.960000038146973,Arial,0,1,0,70.9439697265625,430.6484069824219,5,93
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",9.960000038146973,Arial,0,0,0,70.9439697265625,442.172119140625,5,100
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",9.960000038146973,Arial,0,0,0,70.9439697265625,453.6958312988281,5,81
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",9.960000038146973,Arial,0,0,0,70.9439697265625,476.61376953125,5,96
2014.,9.960000038146973,Arial,0,0,0,70.94400024414062,488.1374816894531,5,5
Version 2014,9.960000038146973,Trebuchet MS,0,1,0,76.58135986328125,718.74169921875,5,12
Page 5 of 12,9.960000038146973,Trebuchet MS,0,0,0,270.1639404296875,718.74169921875,5,12
"May 31, 2014",9.960000038146973,Trebuchet MS,0,1,0,471.5750732421875,718.74169921875,5,12
© International Software Testing Qualifications Board,6.0,Arial,0,1,0,76.58399963378906,735.8699951171875,5,53
Qualifications Board,9.960000038146973,Arial,0,1,0,430.75,59.972991943359375,6,20
International,9.960000038146973,Arial,0,1,0,447.9100036621094,36.933013916015625,6,13
Overview,12.0,Arial,0,1,0,74.42400360107422,39.540000915527344,6,8
Software Testing,9.960000038146973,Arial,0,1,0,437.95001220703125,48.452972412109375,6,16
Foundation Level Extension –,9.960000038146973,Arial,0,1,0,74.42400360107422,56.733001708984375,6,28
Agile Tester,9.960000038146973,Arial,0,1,0,209.08999633789062,56.733001708984375,6,12
1.,15.960000038146973,Arial,0,0,0,70.94400024414062,120.26298522949219,6,2
Introduction to the Foundation Level Extensions,15.960000038146973,"Arial,Bold",1,0,0,93.62316131591797,120.34278106689453,6,47
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,9.960000038146973,Arial,0,0,0,70.94400024414062,144.59298706054688,6,92
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,9.960000038146973,Arial,0,0,0,70.94400024414062,156.11672973632812,6,106
extension syllabi.,9.960000038146973,Arial,0,0,0,70.94398498535156,167.64047241210938,6,18
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",9.960000038146973,Arial,0,0,0,70.94398498535156,190.55844116210938,6,101
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",9.960000038146973,Arial,0,0,0,70.94398498535156,202.08218383789062,6,102
updated document will be available on the ISTQB website.,9.960000038146973,Arial,0,0,0,70.94398498535156,213.60592651367188,6,56
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,9.960000038146973,Arial,0,0,0,70.94398498535156,236.67330932617188,6,97
some time. New topics emerge due to technology and methodology changes in the market which often,9.960000038146973,Arial,0,0,0,70.94398498535156,248.07748413085938,6,96
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",9.960000038146973,Arial,0,0,0,70.94398498535156,259.6012268066406,6,106
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",9.960000038146973,Arial,0,0,0,70.94400024414062,271.12493896484375,6,106
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,9.960000038146973,Arial,0,0,0,70.94400024414062,282.6486511230469,6,92
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",9.960000038146973,Arial,0,0,0,70.94400024414062,294.17236328125,6,102
that is beyond the scope of this document.,9.960000038146973,Arial,0,0,0,70.94400787353516,305.6960754394531,6,42
The following Foundation Level Extension syllabus has been released:,9.960000038146973,Arial,0,0,0,70.94400787353516,328.6140441894531,6,68
