text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level
Application form for grant of LTC advance,11.670000076293944,"Arial,Bold",1,0,0,199.8600006103516,116.63970947265624,1,41,0,
1.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,145.6796875,1,2,0,
Name of the Government Servant,9.744400024414062,Tahoma,0,0,0,95.99856567382812,142.73687744140625,1,30,0,
2.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,163.7945556640625,1,2,0,
Designation,9.744400024414062,Tahoma,0,1,0,95.99856567382812,160.79327392578125,1,11,0,
3.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,190.66961669921875,1,2,0,
Date of entering the Central Government,9.744400024414062,Tahoma,0,0,0,95.99856567382812,178.90814208984375,1,39,0,
Service,9.744400024414062,Tahoma,0,1,0,95.99856567382812,196.487060546875,1,7,0,
4.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,217.544677734375,1,2,0,
PAY + SI + NPA,9.744400024414062,Tahoma,0,0,1,95.99856567382812,214.60186767578125,1,14,0,
5.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,235.6595458984375,1,2,0,
Whether permanent or temporary,9.744400024414062,Tahoma,0,0,0,95.99856567382812,232.65826416015625,1,30,0,
6.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,250.84130859375,1,2,0,
Home Town as recorded in the Service Book,9.744400024414062,Tahoma,0,0,0,95.99856567382812,250.84130859375,1,41,0,
7.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,274.7833251953125,1,2,0,
Whether wife / husband is employed and if,9.744400024414062,Tahoma,0,0,0,95.99856567382812,263.0218505859375,1,41,0,
so whether entitled to LTC,9.744400024414062,Tahoma,0,0,0,95.99856567382812,280.60076904296875,1,26,0,
8.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,319.3055419921875,1,2,0,
Whether the concession is to be availed for,9.744400024414062,Tahoma,0,0,0,95.99856567382812,298.725341796875,1,43,0,
visiting home town and if so block for which,9.744400024414062,Tahoma,0,0,0,95.99856567382812,316.30426025390625,1,44,0,
LTC is to be availed.,9.744400024414062,Tahoma,0,0,0,95.99856567382812,333.9416198730469,1,21,0,
9.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,372.5781555175781,1,2,0,
(a) If the concession is to visit anywhere in,9.744400024414062,Tahoma,0,0,0,95.99856567382812,351.9979858398437,1,45,0,
"India, the place to be visited.",9.744400024414062,Tahoma,0,0,0,95.99856567382812,369.6353454589844,1,31,0,
(b) Block for which to be availed.,9.744400024414062,Tahoma,0,0,0,95.99856567382812,387.2142333984375,1,34,0,
10.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,425.9189758300781,1,3,0,
Single,9.744400024414062,Tahoma,0,1,0,95.99856567382812,405.33880615234375,1,6,0,
rail,9.744400024414062,Tahoma,0,0,0,136.138671875,405.33880615234375,1,4,0,
fare/bus,9.744400024414062,Tahoma,0,0,0,163.60035705566406,405.33880615234375,1,8,0,
fare,9.744400024414062,Tahoma,0,0,0,213.70704650878903,405.33880615234375,1,4,0,
from,9.744400024414062,Tahoma,0,0,0,244.8404083251953,405.33880615234375,1,4,0,
the,9.744400024414062,Tahoma,0,0,0,279.2371520996094,405.33880615234375,1,3,0,
headquarters to home town/place of visit by,9.744400024414062,Tahoma,0,0,0,95.99856567382812,422.9176940917969,1,43,0,
shortest route.,9.744400024414062,Tahoma,0,0,0,95.99856567382812,440.49658203125,1,15,0,
11.,9.744400024414062,Tahoma-Bold,1,0,0,70.0199966430664,508.3565673828125,1,3,0,
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,Tahoma,0,0,0,95.99856567382812,458.67962646484375,1,57,0,
S.No,9.744400024414062,Tahoma-Bold,1,1,0,95.99856567382812,473.8029479980469,1,4,0,
Name,9.744400024414062,Tahoma-Bold,1,1,0,211.4122009277344,473.8029479980469,1,4,0,
Age,9.744400024414062,Tahoma-Bold,1,1,0,343.4770812988281,473.8029479980469,1,3,0,
Relationship,9.744400024414062,Tahoma-Bold,1,1,0,444.5849609375,473.8029479980469,1,12,0,
1.,9.744400024414062,Tahoma-Bold,1,0,0,103.62838745117188,485.98345947265625,1,2,0,
2.,9.744400024414062,Tahoma-Bold,1,0,0,103.62838745117188,498.222412109375,1,2,0,
3.,9.744400024414062,Tahoma-Bold,1,0,0,103.62838745117188,510.4029235839844,1,2,0,
4.,9.744400024414062,Tahoma-Bold,1,0,0,103.62838745117188,522.7003173828125,1,2,0,
