text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level,
Class X Science,12,TimesNewRomanPSMT,0,1,0,57.38399887,751.8840332,1,15,1,H1,
www.vedantu.com,12,TimesNewRomanPSMT,0,0,0,260.9299927,751.8840332,1,15,0,,
1,12,TimesNewRomanPSMT,0,0,0,537.2399902,751.8840332,1,1,0,,
Revision Notes for Class 10 Science,15.96000004,TimesNewRomanPS-BoldMT,1,0,0,180.0500031,128.7977753,1,35,1,H1,
Chapter 1 â€“ Chemical Reactions and Equations,15.96000004,TimesNewRomanPS-BoldMT,1,0,0,138.3800049,161.1977386,1,44,1,H1,
Chemical Change:,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,223.0397644,1,16,1,H2,
A change that results in the formation of one or more new compounds.,12.96000004,TimesNewRomanPSMT,0,0,0,163.4600067,222.9231262,1,68,0,,
Chemical changes are also known as chemical reactions.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,237.8031311,1,54,0,,
Observations in a Chemical Reaction,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,266.8397522,1,35,1,H2,
"In a chemical reaction or chemical change, the following observations can be made,",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,295.7631226,1,82,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,328.3164978,1,1,0,,
Formation of new substances.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,324.6831055,1,28,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,357.2365112,1,1,0,,
Change in mass.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,353.6031189,1,15,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,386.1765137,1,1,0,,
Changes in energy.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,382.5431213,1,18,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,415.0964966,1,1,0,,
Evolution of gas.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,411.4631042,1,17,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,444.1365051,1,1,0,,
Change in temperature.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,440.5031128,1,22,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,473.0565186,1,1,0,,
Permanent change in colour and/or state.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,469.4231262,1,40,0,,
â€¢,9.960000038,SymbolMT,0,0,0,75.38400269,501.9765015,1,1,0,,
Formation of a precipitate.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,498.3431091,1,27,0,,
Examples :,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,527.40979,1,10,1,H2,
A.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,556.3331299,1,2,0,,
Cooking of food,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,556.3331299,1,15,0,,
B.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,585.2531738,1,2,0,,
Rusting of iron,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,585.2531738,1,15,0,,
C.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,614.1731567,1,2,0,,
Heating of Lead nitrate,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,614.1731567,1,23,0,,
D.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,643.0931396,1,2,0,,
Souring of milk,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,643.0931396,1,15,0,,
E.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,672.1331787,1,2,0,,
Ripening of fruit.,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,672.1331787,1,18,0,,
Class X Science,12,TimesNewRomanPSMT,0,1,0,57.38399887,751.8840332,2,15,0,,
www.vedantu.com,12,TimesNewRomanPSMT,0,0,0,260.9299927,751.8840332,2,15,0,,
2,12,TimesNewRomanPSMT,0,0,0,537.2399902,751.8840332,2,1,0,,
Chemical Formulae -,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,129.2897644,2,19,1,H2,
